2024-06-23 17:27:07 trigproc ca-certificates-java:all 20240118 <none>
2024-06-23 17:27:07 status half-configured ca-certificates-java:all 20240118
2024-06-23 17:27:07 status installed openjdk-17-jre-headless:amd64 17.0.11+9-1
2024-06-23 17:27:08 status installed ca-certificates-java:all 20240118
2024-06-23 17:27:08 configure openjdk-17-jdk-headless:amd64 17.0.11+9-1 <none>
2024-06-23 17:27:08 status unpacked openjdk-17-jdk-headless:amd64 17.0.11+9-1
2024-06-23 17:27:08 status half-configured openjdk-17-jdk-headless:amd64 17.0.11+9-1
2024-06-23 17:27:08 status installed openjdk-17-jdk-headless:amd64 17.0.11+9-1
2024-06-23 17:27:08 configure openjdk-17-jre:amd64 17.0.11+9-1 <none>
2024-06-23 17:27:08 status unpacked openjdk-17-jre:amd64 17.0.11+9-1
2024-06-23 17:27:08 status half-configured openjdk-17-jre:amd64 17.0.11+9-1
2024-06-23 17:27:08 status installed openjdk-17-jre:amd64 17.0.11+9-1
2024-06-23 17:27:08 configure openjdk-17-jdk:amd64 17.0.11+9-1 <none>
2024-06-23 17:27:08 status unpacked openjdk-17-jdk:amd64 17.0.11+9-1
2024-06-23 17:27:08 status half-configured openjdk-17-jdk:amd64 17.0.11+9-1
2024-06-23 17:27:08 status installed openjdk-17-jdk:amd64 17.0.11+9-1
2024-06-23 17:27:08 trigproc libgdk-pixbuf-2.0-0:amd64 2.42.12+dfsg-1 <none>
2024-06-23 17:27:08 status half-configured libgdk-pixbuf-2.0-0:amd64 2.42.12+dfsg-1
2024-06-23 17:27:08 status installed libgdk-pixbuf-2.0-0:amd64 2.42.12+dfsg-1
2024-06-23 17:30:54 startup packages remove
2024-06-23 17:30:54 status installed openjdk-11-jdk:amd64 11.0.23+9-1
2024-06-23 17:30:54 remove openjdk-11-jdk:amd64 11.0.23+9-1 <none>
2024-06-23 17:30:54 status half-configured openjdk-11-jdk:amd64 11.0.23+9-1
2024-06-23 17:30:54 status half-installed openjdk-11-jdk:amd64 11.0.23+9-1
2024-06-23 17:30:54 status config-files openjdk-11-jdk:amd64 11.0.23+9-1
2024-06-23 17:30:54 status not-installed openjdk-11-jdk:amd64 <none>
2024-06-23 17:30:54 status installed openjdk-11-jdk-headless:amd64 11.0.23+9-1
2024-06-23 17:30:54 remove openjdk-11-jdk-headless:amd64 11.0.23+9-1 <none>
2024-06-23 17:30:54 status half-configured openjdk-11-jdk-headless:amd64 11.0.23+9-1
2024-06-23 17:30:54 status half-installed openjdk-11-jdk-headless:amd64 11.0.23+9-1
2024-06-23 17:30:54 status config-files openjdk-11-jdk-headless:amd64 11.0.23+9-1
2024-06-23 17:30:54 status not-installed openjdk-11-jdk-headless:amd64 <none>
2024-06-23 17:30:54 status installed openjdk-11-jre:amd64 11.0.23+9-1
2024-06-23 17:30:54 remove openjdk-11-jre:amd64 11.0.23+9-1 <none>
2024-06-23 17:30:54 status half-configured openjdk-11-jre:amd64 11.0.23+9-1
2024-06-23 17:30:54 status half-installed openjdk-11-jre:amd64 11.0.23+9-1
2024-06-23 17:30:54 status config-files openjdk-11-jre:amd64 11.0.23+9-1
